pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_腌渍,prodPcat_其他类
2023-01-03,11.5,3,1,1,0.051619667223253764,0.998666816288476,11.5,11.5,11.5,8.5,11.5,True,True
2023-01-04,11.5,4,2,1,0.06880242680231986,0.9976303053065857,11.5,11.5,11.5,8.5,11.5,True,True
2023-01-05,11.5,5,3,1,0.08596479873744647,0.9962981749346078,11.5,11.5,11.5,8.5,11.5,True,True
2023-01-06,11.5,6,4,1,0.10310169744743485,0.9946708199115211,11.5,11.5,11.5,8.5,11.5,True,True
2023-01-07,11.5,7,5,1,0.1202080448993527,0.9927487224577402,11.5,11.5,11.5,8.5,11.5,True,True
2023-01-08,11.5,8,6,1,0.13727877211326478,0.9905324521322229,11.5,11.5,11.5,8.5,11.5,True,True
2023-01-09,11.5,9,0,1,0.15430882066428117,0.9880226656636976,11.5,11.5,11.5,8.5,11.5,True,True
2023-01-10,11.5,10,1,1,0.1712931441814776,0.9852201067560606,11.5,11.5,11.5,8.5,11.5,True,True
2023-01-11,11.5,11,2,1,0.1882267098432442,0.9821256058680006,11.5,11.5,11.5,8.5,11.5,True,True
2023-01-12,11.5,12,3,1,0.2051044998686192,0.9787400799669153,11.5,11.5,11.5,8.5,11.5,True,True
2023-01-13,11.5,13,4,1,0.2219215130041655,0.9750645322571948,11.5,11.5,11.5,8.5,11.5,True,True
2023-01-14,11.5,14,5,1,0.2386727660059501,0.9711000518829505,11.5,11.5,11.5,8.5,11.5,True,True
2023-01-15,11.5,15,6,1,0.255353295116187,0.9668478136052775,11.5,11.5,11.5,8.5,11.5,True,True
2023-01-16,11.5,16,0,1,0.2719581575341055,0.9623090774541486,11.5,11.5,11.5,8.5,11.5,True,True
2023-01-17,11.5,17,1,1,0.288482432880609,0.9574851883550393,11.5,11.5,11.5,8.5,11.5,True,True
2023-01-18,11.5,18,2,1,0.30492122465628907,0.9523775757303974,11.5,11.5,11.5,8.5,11.5,True,True
2023-01-19,11.5,19,3,1,0.3212696616923644,0.9469877530760753,11.5,11.5,11.5,9.0,11.5,True,True
2023-01-20,11.5,20,4,1,0.3375228995941133,0.9413173175128471,11.5,11.5,11.5,9.0,11.5,True,True
2023-01-21,11.5,21,5,1,0.3536761221763716,0.9353679493131483,11.5,11.5,11.5,9.0,11.5,True,True
2023-01-22,11.5,22,6,1,0.3697245428906731,0.9291414114031743,11.5,11.5,11.5,9.0,11.5,True,True
2023-01-23,11.5,23,0,1,0.38566340624360707,0.9226395488404876,11.5,11.5,11.5,9.0,11.5,True,True
2023-01-24,11.5,24,1,1,0.401487989205973,0.9158642882672872,11.5,11.5,11.5,9.0,11.5,True,True
2023-01-25,11.5,25,2,1,0.4171936026123168,0.9088176373395029,11.5,11.5,11.5,9.0,11.5,True,True
2023-01-26,11.5,26,3,1,0.4327755925504312,0.901501684131884,11.5,11.5,11.5,9.0,11.5,True,True
2023-01-27,11.5,27,4,1,0.4482293417404106,0.893918596519257,11.5,11.5,11.5,9.0,11.5,True,True
2023-01-28,11.5,28,5,1,0.4635502709028509,0.886070621534138,11.5,11.5,11.5,9.038461538461538,11.5,True,True
2023-01-29,11.5,29,6,1,0.47873384011578846,0.8779600847008882,11.5,11.5,11.5,9.076923076923077,11.5,True,True
2023-01-30,11.5,30,0,1,0.49377555015997715,0.869589389346611,11.5,11.5,11.5,9.115384615384615,11.5,True,True
2023-01-31,11.5,31,1,1,0.5086709438521044,0.8609610158889943,11.5,11.5,11.5,9.153846153846153,11.5,True,True
2023-02-01,11.5,32,2,2,0.5234156073655503,0.8520775211013093,11.5,11.5,11.5,9.192307692307692,11.5,True,True
2023-02-02,11.5,33,3,2,0.5380051715382996,0.8429415373547828,11.5,11.5,11.5,9.23076923076923,11.5,True,True
2023-02-03,11.5,34,4,2,0.5524353131676196,0.8335557718385699,11.5,11.5,11.5,9.26923076923077,11.5,True,True
2023-02-04,11.5,35,5,2,0.5667017562911176,0.8239230057575542,11.5,11.5,11.5,9.307692307692308,11.5,True,True
2023-02-05,11.5,36,6,2,0.5808002734538009,0.8140460935082178,11.5,11.5,11.5,9.346153846153847,11.5,True,True
2023-02-06,11.5,37,0,2,0.5947266869607634,0.8039279618328213,11.5,11.5,11.5,9.384615384615385,11.5,True,True
2023-02-07,11.5,38,1,2,0.6084768701151261,0.7935716089521474,11.5,11.5,11.5,9.423076923076923,11.5,True,True
2023-02-08,11.5,39,2,2,0.6220467484408675,0.7829801036770629,11.5,11.5,11.5,9.461538461538462,11.5,True,True
2023-02-09,11.5,40,3,2,0.6354323008901774,0.7721565844991642,11.5,11.5,11.5,9.5,11.5,True,True
2023-02-10,11.5,41,4,2,0.6486295610349814,0.7611042586607747,11.5,11.5,11.5,9.538461538461538,11.5,True,True
2023-02-11,11.5,42,5,2,0.6616346182422783,0.7498264012045686,11.5,11.5,11.5,9.576923076923077,11.5,True,True
2023-02-12,11.5,43,6,2,0.6744436188329455,0.7383263540031065,11.5,11.5,11.5,9.615384615384615,11.5,True,True
2023-02-13,11.5,44,0,2,0.6870527672236669,0.7266075247685656,11.5,11.5,11.5,9.653846153846153,11.5,True,True
2023-02-14,11.5,45,1,2,0.699458327051647,0.7146733860429609,11.5,11.5,11.5,9.692307692307692,11.5,True,True
2023-02-15,11.5,46,2,2,0.7116566222817746,0.7025274741691571,11.5,11.5,11.5,9.73076923076923,11.5,True,True
2023-02-16,11.5,47,3,2,0.7236440382959124,0.6901733882429719,11.5,11.5,11.5,9.76923076923077,11.5,True,True
2023-02-17,11.5,48,4,2,0.7354170229639855,0.6776147890466889,11.5,11.5,11.5,9.807692307692308,11.5,True,True
2023-02-18,11.5,49,5,2,0.7469720876965552,0.6648553979642865,11.5,11.5,11.5,9.846153846153847,11.5,True,True
2023-02-19,11.5,50,6,2,0.7583058084785624,0.6518989958787126,11.5,11.5,11.5,9.884615384615385,11.5,True,True
2023-02-20,11.5,51,0,2,0.7694148268839378,0.6387494220515272,11.5,11.5,11.5,9.923076923076923,11.5,True,True
2023-02-21,11.5,52,1,2,0.7802958510707755,0.6254105729852463,11.5,11.5,11.5,9.961538461538462,11.5,True,True
2023-02-22,11.5,53,2,2,0.7909456567567772,0.6118864012687243,11.5,11.5,11.5,10.0,11.5,True,True
2023-02-23,11.5,54,3,2,0.8013610881746766,0.5981809144059165,11.5,11.5,11.5,10.0,11.5,True,True
2023-02-24,11.5,55,4,2,0.8115390590073611,0.5842981736283684,11.5,11.5,11.5,10.0,11.5,True,True
2023-02-25,11.5,56,5,2,0.8214765533024142,0.5702422926917871,11.5,11.5,11.5,10.0,11.5,True,True
2023-02-26,11.5,57,6,2,0.8311706263658079,0.5560174366570446,11.5,11.5,11.5,10.0,11.5,True,True
2023-02-27,11.5,58,0,2,0.8406184056344782,0.5416278206559814,11.5,11.5,11.5,10.0,11.5,True,True
2023-02-28,11.5,59,1,2,0.8498170915275278,0.5270777086423722,11.5,11.5,11.5,10.0,11.5,True,True
2023-03-01,11.5,60,2,3,0.8587639582758029,0.5123714121284237,11.5,11.5,11.5,10.0,11.5,True,True
2023-03-02,11.5,61,3,3,0.8674563547295969,0.49751328890718066,11.5,11.5,11.5,10.0,11.5,True,True
2023-03-03,11.5,62,4,3,0.8758917051442429,0.48250774176121847,11.5,11.5,11.5,10.0,11.5,True,True
2023-03-04,11.5,63,5,3,0.8840675099433636,0.4673592171580022,11.5,11.5,11.5,10.0,11.5,True,True
2023-03-05,11.5,64,6,3,0.8919813464595485,0.45207220393230435,11.5,11.5,11.5,10.0,11.5,True,True
2023-03-06,11.5,65,0,3,0.8996308696522433,0.43665123195606403,11.5,11.5,11.5,10.0,11.5,True,True
